Top 100 companies with most apps:
br.com: 21254 apps 
com.app: 20058 apps 
com.andromo: 16617 apps 
air.com: 7667 apps 
jp.co: 7157 apps 
com.newandromo: 6520 apps 
com.subsplashconsulting: 5747 apps 
com.trainerize: 5419 apps 
com.chownow: 4866 apps 
uk.co: 4545 apps 
io.kodular: 3943 apps 
com.fitnessmobileapps: 3923 apps 
com.ikeyboard: 3778 apps 
kr.co: 3495 apps 
com.appswiz: 2887 apps 
com.iwaiterapp: 2884 apps 
com.phorest: 2808 apps 
com.bhappdevelopment: 2414 apps 
au.com: 2321 apps 
com.gmail: 2305 apps 
com.goodbarber: 2248 apps 
com.shoutcast: 2178 apps 
com.sharefaith: 2080 apps 
com.ionicframework: 1990 apps 
ie.flipdish: 1968 apps 
com.mobincube: 1947 apps 
com.jymstudio: 1941 apps 
io.pushpay: 1934 apps 
com.free074a81ba94cf6951221ca03606d56: 1883 apps 
io.ionic: 1875 apps 
com.echurchapps: 1790 apps 
com.apptegy: 1729 apps 
com.cymstudio: 1728 apps 
com.appybuilder: 1692 apps 
com.radio: 1637 apps 
com.magzter: 1611 apps 
ru.FoodSoul: 1582 apps 
com.subsplash: 1562 apps 
com.makeshop: 1555 apps 
conversor.conversaotaxasbasico: 1517 apps 
com.companyname: 1432 apps 
com.my: 1372 apps 
com.suolis: 1333 apps 
com.happydev4u: 1294 apps 
tw.com: 1276 apps 
digifit.android: 1269 apps 
com.edugorilla: 1248 apps 
co.tapcart: 1244 apps 
com.apps: 1226 apps 
net.ays: 1223 apps 
com.exlivinapps: 1206 apps 
jp.digitallab: 1188 apps 
com.nupuit: 1179 apps 
net.jp: 1164 apps 
com.jb: 1151 apps 
hr.apps: 1150 apps 
com.thunkable: 1099 apps 
net.andromo: 1084 apps 
com.customchurchapps: 1062 apps 
com.appsmart: 1049 apps 
com.game: 1043 apps 
com.Tobit: 1038 apps 
com.delivery: 1006 apps 
com.linguaapps: 1004 apps 
za.co: 997 apps 
com.blogspot: 978 apps 
com.conduit: 974 apps 
com.DefaultCompany: 972 apps 
com.nineyi: 957 apps 
com.mypthub: 952 apps 
id.compro: 940 apps 
com.foodbooking: 940 apps 
es.bandomovil: 930 apps 
nl.sitedish: 911 apps 
com.free: 910 apps 
com.cook: 908 apps 
com.nobexinc: 897 apps 
ar.com: 893 apps 
com.mobile: 889 apps 
co.april2019: 884 apps 
tr.com: 870 apps 
com.blackboard: 870 apps 
com.webradiocast: 865 apps 
id.co: 849 apps 
com.hbs: 838 apps 
co.jarvis: 827 apps 
com.do_apps: 822 apps 
com.guidebook: 813 apps 
com.vet2pet: 805 apps 
land.dict: 798 apps 
io.cordova: 797 apps 
com.phonegap: 794 apps 
com.mobeasyapp: 788 apps 
com.eduven: 768 apps 
co.classplus: 766 apps 
com.kkkeyboard: 764 apps 
com.otoreport: 762 apps 
co.nick: 755 apps 
com.appsvision: 752 apps 
com.appscroy: 739 apps 
